cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
0000015B3BD0BE330000000A6375706F795F72656C656173654355,跑步心情,0000015CC96A290F000000C46375706F795F72656C656173654349,越忙碌越跑步：是跑步更是生活方式,"['Fitness_tw', 'Sports_tw', 'Joggings_tw']","['健康', '跑步', '運動']",33510142,1,47,41,2019-07-03
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,00000166FF7E202A00000B246375706F795F72656C656173654349,創意決定一切 三個超有效創意點子 大揭秘！【b-crossTV平面設計頻道】feat  Koji Eyetalk 日本藥妝 雙眼皮膠,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,1,0,48,2019-07-03
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015B722EF679000000F36375706F795F72656C656173654349,恐怖故事 なつのさん系列-我和S的相遇【之後會更新錄製朗讀版本】,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,4,17,2019-07-03
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015B722F5D72000000F56375706F795F72656C656173654349,恐怖故事 なつのさん系列-輾過吊死鬼【之後會更新錄製朗讀版本】,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,6,17,2019-07-03
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015B722FC632000000F76375706F795F72656C656173654349,恐怖故事 なつのさん系列-同歸岬【之後會更新錄製朗讀版本】,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,7,17,2019-07-03
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015B722FF9EA000000F86375706F795F72656C656173654349,恐怖經驗-米娜的親身經驗1 非朗讀版本開台隨興講的,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,2,17,2019-07-03
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015B72303A8B000000F96375706F795F72656C656173654349,恐怖經驗-米娜的親身經驗2 非朗讀版本開台隨意講的,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,3,17,2019-07-03
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015E363646A0000000116375706F795F72656C656173654349,台灣怪談-紅衣小女孩與魔神仔的祖先 – 魑魅魍魎【米娜朗讀】,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,6,17,2019-07-03
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,00000167876CFA15000088D06375706F795F72656C656173654349,【U-Live直播】Eclipse Cross與Kuga等車強化戰力、直播屆滿1週年！[第52集 20181207],"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,0,8,2019-07-03
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000016949CA63530001567D6375706F795F72656C656173654349,全新Toyota RAV4你提我試：3/5中午前開放網友在影片下方留言提問！我們將在試駕前選出網友們在意的問題進行相關影音測試報導 | U-CAR 現場報導,"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,4,8,2019-07-03
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,00000169597C686100016F256375706F795F72656C656173654349,Toyota RAV4 試駕：實測AEB自動煞車 與CR-V比較ACC自動跟車、詳解網友對於2.0L旗艦車型各項配備問題(中文字幕) | U-CAR 新車試駕 (TSS系統測試、噪音測量、TNGA),"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,0,8,2019-07-03
0000015C47FCFD4D000000016375706F795F72656C656173654355,Taiwan Bar,00000169638497A800017F126375706F795F72656C656173654349,我們怎麼說的？讓「說書」變得不一樣？ -《學霸話經典》EP0.5?｜臺灣吧TaiwanBar,['life_tw'],"['動畫', '文化', '知識']",F4810138,2,27,36,2019-07-03
0000015C8D7C9D24000000046375706F795F72656C656173654355,Auto-Online 汽車線上情報誌,0000015C8DC6BA0B0000042C6375706F795F72656C656173654349,The All New Volvo XC90 安全的最大值,"['life_tw', 'car_tw']","['汽車', '生活情報', '體驗']",97210140,1,64,0,2019-07-03
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,00000164E28B26CE000013FC6375706F795F72656C656173654349,【Minecraft】茶杯生存Ep181 📣1.13海豚超音波尋寶法【當個創世神】,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,0,15,2019-07-03
